"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"2015","Estonia","Total","Total","1,314,870","b"
"2016","Estonia","Total","Total","1,315,944",""
"2017","Estonia","Total","Total","1,315,635",""
"2018","Estonia","Total","Total","1,319,133",""
"2019","Estonia","Total","Total","1,324,820",""
"1999","Tallinn","Total","Total",":",""
"2000","Tallinn","Total","Total","536,470",""
"2001","Tallinn","Total","Total","533,710",""
"2002","Tallinn","Total","Total","532,800",""
"2003","Tallinn","Total","Total","533,820",""
"2004","Tallinn","Total","Total","536,830",""
"2005","Tallinn","Total","Total","540,730",""
"2006","Tallinn","Total","Total","542,030",""
"2007","Tallinn","Total","Total","544,170",""
"2008","Tallinn","Total","Total","547,840",""
"2009","Tallinn","Total","Total","552,060",""
"2010","Tallinn","Total","Total","556,650",""
"2011","Tallinn","Total","Total","562,230",""
"2012","Tallinn","Total","Total","566,741",""
"2013","Tallinn","Total","Total","567,967",""
"2014","Tallinn","Total","Total","572,103",""
"2015","Tallinn","Total","Total","570,379","b"
"2016","Tallinn","Total","Total","577,839",""
"2017","Tallinn","Total","Total","583,728",""
"2018","Tallinn","Total","Total","590,981",""
"2019","Tallinn","Total","Total","599,478",""
"1999","Non-metropolitan regions in Estonia","Total","Total",":",""
"2000","Non-metropolitan regions in Estonia","Total","Total","864,780",""
"2001","Non-metropolitan regions in Estonia","Total","Total","859,010",""
"2002","Non-metropolitan regions in Estonia","Total","Total","850,710",""
"2003","Non-metropolitan regions in Estonia","Total","Total","841,370",""
"2004","Non-metropolitan regions in Estonia","Total","Total","829,420",""
"2005","Non-metropolitan regions in Estonia","Total","Total","818,120",""
"2006","Non-metropolitan regions in Estonia","Total","Total","808,670",""
"2007","Non-metropolitan regions in Estonia","Total","Total","798,750",""
"2008","Non-metropolitan regions in Estonia","Total","Total","790,600",""
"2009","Non-metropolitan regions in Estonia","Total","Total","783,680",""
"2010","Non-metropolitan regions in Estonia","Total","Total","776,640",""
"2011","Non-metropolitan regions in Estonia","Total","Total","767,430",""
"2012","Non-metropolitan regions in Estonia","Total","Total","758,476",""
"2013","Non-metropolitan regions in Estonia","Total","Total","752,207",""
"2014","Non-metropolitan regions in Estonia","Total","Total","743,716",""
"2015","Non-metropolitan regions in Estonia","Total","Total","744,491","b"
"2016","Non-metropolitan regions in Estonia","Total","Total","738,105",""
"2017","Non-metropolitan regions in Estonia","Total","Total","731,907",""
"2018","Non-metropolitan regions in Estonia","Total","Total","728,152",""
"2019","Non-metropolitan regions in Estonia","Total","Total","725,342",""
"1999","Ireland","Total","Total","3,732,006",""
"2000","Ireland","Total","Total","3,777,565",""
"2001","Ireland","Total","Total","3,832,783",""
"2002","Ireland","Total","Total","3,899,702",""
"2003","Ireland","Total","Total","3,964,191",""
"2004","Ireland","Total","Total","4,028,851",""
"2005","Ireland","Total","Total","4,111,672",""
"2006","Ireland","Total","Total","4,208,156",""
"2007","Ireland","Total","Total","4,340,118",""
"2008","Ireland","Total","Total","4,457,765",""
"2009","Ireland","Total","Total","4,521,322",""
"2010","Ireland","Total","Total","4,549,428",""
"2011","Ireland","Total","Total","4,570,881",""
"2012","Ireland","Total","Total","4,589,287",""
"2013","Ireland","Total","Total","4,609,779",""
"2014","Ireland","Total","Total","4,637,852",""
"2015","Ireland","Total","Total","4,677,627",""
"2016","Ireland","Total","Total","4,726,286",""
"2017","Ireland","Total","Total","4,784,383",""
"2018","Ireland","Total","Total","4,830,392",""
"2019","Ireland","Total","Total","4,904,240","e"
"1999","Dublin","Total","Total",":",""
"2000","Dublin","Total","Total",":",""
"2001","Dublin","Total","Total",":",""
"2002","Dublin","Total","Total",":",""
"2003","Dublin","Total","Total",":",""
"2004","Dublin","Total","Total",":",""
"2005","Dublin","Total","Total",":",""
"2006","Dublin","Total","Total",":",""
"2007","Dublin","Total","Total",":",""
"2008","Dublin","Total","Total",":",""
"2009","Dublin","Total","Total",":",""
"2010","Dublin","Total","Total",":",""
"2011","Dublin","Total","Total",":",""
"2012","Dublin","Total","Total","1,923,782",""
"2013","Dublin","Total","Total","1,930,498",""
"2014","Dublin","Total","Total","1,951,325",""
"2015","Dublin","Total","Total","1,985,667",""
"2016","Dublin","Total","Total","2,018,898",""
"2017","Dublin","Total","Total","2,047,672",""
"2018","Dublin","Total","Total","2,069,386",""
"2019","Dublin","Total","Total","2,107,749","e"
"1999","Cork","Total","Total",":",""
"2000","Cork","Total","Total",":",""
"2001","Cork","Total","Total",":",""
"2002","Cork","Total","Total",":",""
"2003","Cork","Total","Total",":",""
"2004","Cork","Total","Total",":",""
"2005","Cork","Total","Total",":",""
"2006","Cork","Total","Total",":",""
"2007","Cork","Total","Total",":",""
"2008","Cork","Total","Total",":",""
"2009","Cork","Total","Total",":",""
"2010","Cork","Total","Total",":",""
"2011","Cork","Total","Total",":",""
"2012","Cork","Total","Total","666,169",""
"2013","Cork","Total","Total","672,262",""
"2014","Cork","Total","Total","678,128",""
"2015","Cork","Total","Total","679,100",""
"2016","Cork","Total","Total","683,216",""
"2017","Cork","Total","Total","690,425",""
"2018","Cork","Total","Total","696,021",""
"2019","Cork","Total","Total","705,950","e"
"1999","Non-metropolitan regions in Ireland","Total","Total",":",""
"2000","Non-metropolitan regions in Ireland","Total","Total",":",""
"2001","Non-metropolitan regions in Ireland","Total","Total",":",""
"2002","Non-metropolitan regions in Ireland","Total","Total",":",""
"2003","Non-metropolitan regions in Ireland","Total","Total",":",""
"2004","Non-metropolitan regions in Ireland","Total","Total",":",""
"2005","Non-metropolitan regions in Ireland","Total","Total",":",""
"2006","Non-metropolitan regions in Ireland","Total","Total",":",""
"2007","Non-metropolitan regions in Ireland","Total","Total",":",""
"2008","Non-metropolitan regions in Ireland","Total","Total",":",""
"2009","Non-metropolitan regions in Ireland","Total","Total",":",""
"2010","Non-metropolitan regions in Ireland","Total","Total",":",""
"2011","Non-metropolitan regions in Ireland","Total","Total",":",""
"2012","Non-metropolitan regions in Ireland","Total","Total","1,999,336",""
"2013","Non-metropolitan regions in Ireland","Total","Total","2,007,019",""
"2014","Non-metropolitan regions in Ireland","Total","Total","2,008,399",""
"2015","Non-metropolitan regions in Ireland","Total","Total","2,012,860",""
"2016","Non-metropolitan regions in Ireland","Total","Total","2,024,172",""
"2017","Non-metropolitan regions in Ireland","Total","Total","2,046,286",""
"2018","Non-metropolitan regions in Ireland","Total","Total","2,064,985",""
"2019","Non-metropolitan regions in Ireland","Total","Total","2,090,541","e"
"1999","Greece","Total","Total","10,747,768",""
"2000","Greece","Total","Total","10,775,627",""
"2001","Greece","Total","Total","10,835,989",""
"2002","Greece","Total","Total","10,888,274",""
"2003","Greece","Total","Total","10,915,770",""
"2004","Greece","Total","Total","10,940,369",""
"2005","Greece","Total","Total","10,969,912",""
"2006","Greece","Total","Total","11,004,716",""
"2007","Greece","Total","Total","11,036,008",""
"2008","Greece","Total","Total","11,060,937",""
"2009","Greece","Total","Total","11,094,745",""
"2010","Greece","Total","Total","11,119,289",""
"2011","Greece","Total","Total","11,123,392",""
"2012","Greece","Total","Total","11,086,406",""
"2013","Greece","Total","Total","11,003,615",""
"2014","Greece","Total","Total","10,926,807",""
"2015","Greece","Total","Total","10,858,018",""
"2016","Greece","Total","Total","10,783,748",""
"2017","Greece","Total","Total","10,768,193",""
"2018","Greece","Total","Total","10,741,165",""
"2019","Greece","Total","Total","10,724,599",""
"1999","Athina","Total","Total","3,713,298",""
"2000","Athina","Total","Total","3,725,477",""
"2001","Athina","Total","Total","3,747,424",""
"2002","Athina","Total","Total","3,743,028",""
"2003","Athina","Total","Total","3,763,304",""
"2004","Athina","Total","Total","3,779,547",""
"2005","Athina","Total","Total","3,794,975",""
"2006","Athina","Total","Total","3,811,426",""
"2007","Athina","Total","Total","3,820,690",""
"2008","Athina","Total","Total","3,827,008",""
"2009","Athina","Total","Total","3,833,895",""
"2010","Athina","Total","Total","3,835,738",""
"2011","Athina","Total","Total","3,824,867",""
"2012","Athina","Total","Total","3,793,496",""
"2013","Athina","Total","Total","3,740,752",""
"2014","Athina","Total","Total","3,689,849",""
"2015","Athina","Total","Total","3,647,572",""
"2016","Athina","Total","Total","3,604,723",""
"2017","Athina","Total","Total","3,594,856",""
"2018","Athina","Total","Total","3,576,590",""
"2019","Athina","Total","Total","3,561,750",""
"1999","Thessaloniki","Total","Total","1,060,207",""
"2000","Thessaloniki","Total","Total","1,068,709",""
"2001","Thessaloniki","Total","Total","1,085,121",""
"2002","Thessaloniki","Total","Total","1,087,329",""
"2003","Thessaloniki","Total","Total","1,095,721",""
"2004","Thessaloniki","Total","Total","1,103,632",""
"2005","Thessaloniki","Total","Total","1,111,060",""
"2006","Thessaloniki","Total","Total","1,118,880",""
"2007","Thessaloniki","Total","Total","1,124,921",""
"2008","Thessaloniki","Total","Total","1,128,970",""
"2009","Thessaloniki","Total","Total","1,133,889",""
"2010","Thessaloniki","Total","Total","1,138,290",""
"2011","Thessaloniki","Total","Total","1,139,647",""
"2012","Thessaloniki","Total","Total","1,137,093",""
"2013","Thessaloniki","Total","Total","1,130,229",""
"2014","Thessaloniki","Total","Total","1,123,676",""
"2015","Thessaloniki","Total","Total","1,117,094",""
"2016","Thessaloniki","Total","Total","1,109,969",""
"2017","Thessaloniki","Total","Total","1,108,085",""
"2018","Thessaloniki","Total","Total","1,105,663",""
"2019","Thessaloniki","Total","Total","1,104,690",""
"1999","Non-metropolitan regions in Greece","Total","Total","5,974,263",""
"2000","Non-metropolitan regions in Greece","Total","Total","5,981,441",""
"2001","Non-metropolitan regions in Greece","Total","Total","6,003,444",""
"2002","Non-metropolitan regions in Greece","Total","Total","6,057,917",""
"2003","Non-metropolitan regions in Greece","Total","Total","6,056,745",""
"2004","Non-metropolitan regions in Greece","Total","Total","6,057,190",""
"2005","Non-metropolitan regions in Greece","Total","Total","6,063,877",""
"2006","Non-metropolitan regions in Greece","Total","Total","6,074,410",""
"2007","Non-metropolitan regions in Greece","Total","Total","6,090,397",""
"2008","Non-metropolitan regions in Greece","Total","Total","6,104,959",""
"2009","Non-metropolitan regions in Greece","Total","Total","6,126,961",""
"2010","Non-metropolitan regions in Greece","Total","Total","6,145,261",""
"2011","Non-metropolitan regions in Greece","Total","Total","6,158,878",""
"2012","Non-metropolitan regions in Greece","Total","Total","6,155,817",""
"2013","Non-metropolitan regions in Greece","Total","Total","6,132,634",""
"2014","Non-metropolitan regions in Greece","Total","Total","6,113,282",""
"2015","Non-metropolitan regions in Greece","Total","Total","6,093,352",""
"2016","Non-metropolitan regions in Greece","Total","Total","6,069,056",""
"2017","Non-metropolitan regions in Greece","Total","Total","6,065,252",""
"2018","Non-metropolitan regions in Greece","Total","Total","6,058,912",""
"2019","Non-metropolitan regions in Greece","Total","Total","6,058,159",""
"1999","Spain","Total","Total","40,303,568",""
"2000","Spain","Total","Total","40,470,182",""
"2001","Spain","Total","Total","40,665,545",""
"2002","Spain","Total","Total","41,035,278",""
"2003","Spain","Total","Total","41,827,838",""
"2004","Spain","Total","Total","42,547,451",""
"2005","Spain","Total","Total","43,296,338",""
"2006","Spain","Total","Total","44,009,971",""
"2007","Spain","Total","Total","44,784,666",""
"2008","Spain","Total","Total","45,668,939",""
"2009","Spain","Total","Total","46,239,273",""
"2010","Spain","Total","Total","46,486,619",""
"2011","Spain","Total","Total","46,667,174",""
"2012","Spain","Total","Total","46,818,219",""
"2013","Spain","Total","Total","46,727,890",""
"2014","Spain","Total","Total","46,512,199",""
"2015","Spain","Total","Total","46,449,565",""
"2016","Spain","Total","Total","46,440,099",""
"2017","Spain","Total","Total","46,528,024",""
"2018","Spain","Total","Total","46,658,447",""
"2019","Spain","Total","Total","46,937,060",""
"1999","Madrid","Total","Total","5,284,618",""
"2000","Madrid","Total","Total","5,329,606",""
"2001","Madrid","Total","Total","5,379,087",""
"2002","Madrid","Total","Total","5,478,611",""
"2003","Madrid","Total","Total","5,638,804",""
"2004","Madrid","Total","Total","5,766,554",""
"2005","Madrid","Total","Total","5,866,219",""
"2006","Madrid","Total","Total","5,953,546",""
"2007","Madrid","Total","Total","6,075,013",""
"2008","Madrid","Total","Total","6,226,185",""
"2009","Madrid","Total","Total","6,327,559",""
"2010","Madrid","Total","Total","6,373,546",""
"2011","Madrid","Total","Total","6,394,252",""
"2012","Madrid","Total","Total","6,425,522",""
"2013","Madrid","Total","Total","6,414,620",""
"2014","Madrid","Total","Total","6,378,297",""
"2015","Madrid","Total","Total","6,385,298",""
"2016","Madrid","Total","Total","6,424,275",""
"2017","Madrid","Total","Total","6,476,838",""
"2018","Madrid","Total","Total","6,549,520",""
"2019","Madrid","Total","Total","6,641,649",""
"1999","Barcelona","Total","Total","4,757,760",""
"2000","Barcelona","Total","Total","4,771,151",""
"2001","Barcelona","Total","Total","4,789,261",""
"2002","Barcelona","Total","Total","4,835,593",""
"2003","Barcelona","Total","Total","4,956,066",""
"2004","Barcelona","Total","Total","5,052,814",""
"2005","Barcelona","Total","Total","5,143,474",""
"2006","Barcelona","Total","Total","5,221,841",""
"2007","Barcelona","Total","Total","5,297,172",""
"2008","Barcelona","Total","Total","5,387,705",""
"2009","Barcelona","Total","Total","5,465,835",""
"2010","Barcelona","Total","Total","5,488,633",""
"2011","Barcelona","Total","Total","5,505,667",""
"2012","Barcelona","Total","Total","5,518,280",""
"2013","Barcelona","Total","Total","5,493,081",""
"2014","Barcelona","Total","Total","5,445,616",""
"2015","Barcelona","Total","Total","5,432,802",""
"2016","Barcelona","Total","Total","5,445,904",""
"2017","Barcelona","Total","Total","5,474,482",""
"2018","Barcelona","Total","Total","5,514,881",""
"2019","Barcelona","Total","Total","5,575,204",""
"1999","Valencia","Total","Total","2,187,984",""
"2000","Valencia","Total","Total","2,196,341",""
"2001","Valencia","Total","Total","2,207,001",""
"2002","Valencia","Total","Total","2,226,427",""
"2003","Valencia","Total","Total","2,275,650",""
"2004","Valencia","Total","Total","2,321,595",""
"2005","Valencia","Total","Total","2,371,882",""
"2006","Valencia","Total","Total","2,418,732",""
"2007","Valencia","Total","Total","2,467,759",""
"2008","Valencia","Total","Total","2,522,564",""
"2009","Valencia","Total","Total","2,550,405",""
"2010","Valencia","Total","Total","2,553,694",""
"2011","Valencia","Total","Total","2,559,194",""
"2012","Valencia","Total","Total","2,562,518",""
"2013","Valencia","Total","Total","2,547,050",""
"2014","Valencia","Total","Total","2,527,590",""
"2015","Valencia","Total","Total","2,523,040",""
"2016","Valencia","Total","Total","2,518,678",""
"2017","Valencia","Total","Total","2,522,383",""
"2018","Valencia","Total","Total","2,531,187",""
"2019","Valencia","Total","Total","2,540,588",""
"1999","Sevilla","Total","Total","1,700,822",""
"2000","Sevilla","Total","Total","1,709,062",""
"2001","Sevilla","Total","Total","1,718,915",""
"2002","Sevilla","Total","Total","1,732,694",""
"2003","Sevilla","Total","Total","1,748,407",""
